School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Colegio Público Rabindranath Tagore,CALLE JULIO PALACIOS 35,28029,217 - Pedro Rico,Calle Pedro Rico nº 4,860.1594146363203
Colegio Público Ramiro de Maeztu,CALLE SERRANO 127,28006,250 - Serrano 113,Calle Serrano nº 113B,115.1617740358467
Colegio Público Ramón Gómez de la Serna,CALLE GODELLA 170,28021,235 - Embajadores 191,Calle Sodio nº 1B,5518.272852352694
Colegio Público Ramón María del Valle Inclán,CALLE ALCONERA 1,28037,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2533.568867836025
Colegio Público Ramón Pérez de Ayala,CALLE MOTILLA DEL PALANCAR 19,28043,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3071.200291751231
Colegio Público Real Armada,CALLE CORREGIDOR JUAN FRANCISCO DE LUJAN 114,28030,219 - Marroquina,Calle Camino de los Vinateros nº 108,741.0263017429271
Colegio Público Regimiento Inmemorial del Rey,AVENIDA MORATALAZ 51,28030,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,352.79954606100614
Colegio Público Reina Victoria,CALLE PRINCIPE DE VERGARA 61,28006,143 - Diego de León 52,Calle Diego de León nº 52,179.2621695912162
Colegio Público República Dominicana,RONDA DON BOSCO 2,28044,224 - Caramuel,Calle Caramuel nº 51,4510.354147198802
Colegio Público República de Brasil,AVENIDA FUEROS 34,28041,235 - Embajadores 191,Calle Sodio nº 1B,2095.4945801178337
Colegio Público República de Chile,CALLE CASTILLO DE UCLES 28,28037,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1816.964341270334
Colegio Público República de Colombia,PLAZA ALLOZ 3,28025,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3374.9828617592593
Colegio Público República de Ecuador,CALLE VALLE DE ORO 41,28019,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1528.1092394384862
Colegio Público República de El Salvador,CALLE SACEDON 2,28021,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4398.643906545639
Colegio Público República de Panamá Nº 1,CALLE PEONES 2,28037,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2632.165140752966
Colegio Público República de Paraguay,CALLE MANRESA 60,28034,217 - Pedro Rico,Calle Pedro Rico nº 4,1427.6932616430174
Colegio Público República de Uruguay,AVENIDA NUESTRA SEÑORA DE VALVANERA 120,28047,224 - Caramuel,Calle Caramuel nº 51,2246.5203837555296
Colegio Público República de Venezuela,CALLE CERECINOS 8,28026,228 - San Delfín,Calle San Delfín nº 9,1356.2086324092102
